paper_id,instA_coords,instB_coords,instA_id,instB_id
00fcc6277c19f6b180232d7a6fe0b0abfafb21f7,"[120.4703258, 22.4628783]","[123.4528894, 41.77616079999999]",1482,3063
0103f034e19e62a00514529f0eb6e524abbb00b2,"[127.76840779999999, 26.2516868]","[-79.960835, 40.4443533]",5501,3977
0104f6ceccf92ae8567a0102f89cbb976969a774,"[121.5224199, 25.058553600000003]","[121.5066832, 25.0355293]",3690,3849
0104f6ceccf92ae8567a0102f89cbb976969a774,"[121.5224199, 25.058553600000003]","[121.53975179999999, 25.0173405]",3690,379
0104f6ceccf92ae8567a0102f89cbb976969a774,"[121.5066832, 25.0355293]","[121.53975179999999, 25.0173405]",3849,379
01234cee305e37a78cedea8148bf6177d47fe66b,"[9.8015244, 52.3549693]","[4.4678540999999985, 51.9108848]",4384,5834
01234cee305e37a78cedea8148bf6177d47fe66b,"[9.8015244, 52.3549693]","[5.1224428999999985, 52.0902463]",4384,2566
01234cee305e37a78cedea8148bf6177d47fe66b,"[4.4678540999999985, 51.9108848]","[5.1224428999999985, 52.0902463]",5834,2566
0129fd3130ef50c5b2a994944c7bb4e8df7fce8a,"[4.3217826, 43.8229529]","[3.8554402000000003, 43.6272824]",8436,10298
012d67a440ec30896e8c89c67a736c2638512be1,"[101.6538414, 3.1209046000000003]","[101.60354170000001, 3.0670091]",1403,9005
0132b8c2721692d9f53bd33a738fa94618bb4e91,"[-95.396499, 29.71052959999999]","[16.605384, 49.19862990000001]",3573,1145
0132b8c2721692d9f53bd33a738fa94618bb4e91,"[-95.396499, 29.71052959999999]","[-95.40323120000001, 29.7031663]",3573,6057
0132b8c2721692d9f53bd33a738fa94618bb4e91,"[-95.396499, 29.71052959999999]","[-89.4794921, 43.0580711]",3573,9681
0132b8c2721692d9f53bd33a738fa94618bb4e91,"[16.605384, 49.19862990000001]","[-95.40323120000001, 29.7031663]",1145,6057
0132b8c2721692d9f53bd33a738fa94618bb4e91,"[16.605384, 49.19862990000001]","[-89.4794921, 43.0580711]",1145,9681
0132b8c2721692d9f53bd33a738fa94618bb4e91,"[-95.40323120000001, 29.7031663]","[-89.4794921, 43.0580711]",6057,9681
0139ea4ca580af99b602c6435368e7fdbefacb03,"[76.76847819999998, 30.758010700000003]","[77.1638282, 28.5842523]",1583,8013
0139ea4ca580af99b602c6435368e7fdbefacb03,"[76.76847819999998, 30.758010700000003]","[75.55833050000001, 31.3498515]",1583,9949
0139ea4ca580af99b602c6435368e7fdbefacb03,"[76.76847819999998, 30.758010700000003]","[76.7337, 30.747768]",1583,2677
0139ea4ca580af99b602c6435368e7fdbefacb03,"[76.76847819999998, 30.758010700000003]","[80.93601970000002, 26.863320799999997]",1583,1038
0139ea4ca580af99b602c6435368e7fdbefacb03,"[77.1638282, 28.5842523]","[75.55833050000001, 31.3498515]",8013,9949
0139ea4ca580af99b602c6435368e7fdbefacb03,"[77.1638282, 28.5842523]","[76.7337, 30.747768]",8013,2677
0139ea4ca580af99b602c6435368e7fdbefacb03,"[77.1638282, 28.5842523]","[80.93601970000002, 26.863320799999997]",8013,1038
0139ea4ca580af99b602c6435368e7fdbefacb03,"[75.55833050000001, 31.3498515]","[76.7337, 30.747768]",9949,2677
0139ea4ca580af99b602c6435368e7fdbefacb03,"[75.55833050000001, 31.3498515]","[80.93601970000002, 26.863320799999997]",9949,1038
0139ea4ca580af99b602c6435368e7fdbefacb03,"[76.7337, 30.747768]","[80.93601970000002, 26.863320799999997]",2677,1038
013d9d1cba8a54d5d3718c229b812d7cf91b6c89,"[-1.3960169, 50.9365797]","[-79.39565640000002, 43.6628917]",9156,8037
013d9d1cba8a54d5d3718c229b812d7cf91b6c89,"[-1.3960169, 50.9365797]","[-94.0745293, 33.4635719]",9156,4293
013d9d1cba8a54d5d3718c229b812d7cf91b6c89,"[-1.3960169, 50.9365797]","[116.4148846, 39.91068509999999]",9156,6430
013d9d1cba8a54d5d3718c229b812d7cf91b6c89,"[-1.3960169, 50.9365797]","[121.5036178, 31.2974197]",9156,4767
013d9d1cba8a54d5d3718c229b812d7cf91b6c89,"[-79.39565640000002, 43.6628917]","[-94.0745293, 33.4635719]",8037,4293
013d9d1cba8a54d5d3718c229b812d7cf91b6c89,"[-79.39565640000002, 43.6628917]","[116.4148846, 39.91068509999999]",8037,6430
013d9d1cba8a54d5d3718c229b812d7cf91b6c89,"[-79.39565640000002, 43.6628917]","[121.5036178, 31.2974197]",8037,4767
013d9d1cba8a54d5d3718c229b812d7cf91b6c89,"[-94.0745293, 33.4635719]","[116.4148846, 39.91068509999999]",4293,6430
013d9d1cba8a54d5d3718c229b812d7cf91b6c89,"[-94.0745293, 33.4635719]","[121.5036178, 31.2974197]",4293,4767
013d9d1cba8a54d5d3718c229b812d7cf91b6c89,"[116.4148846, 39.91068509999999]","[121.5036178, 31.2974197]",6430,4767
